"FindingId","Title","SeverityLabel","CreatedAt","ResolvedAt","MTTR_Hours","MTTR_Days"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-z8adnl/finding/8850ae537ec00d587f48a4f312db7f96f2eba415","s3-bucket-level-public-access-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:01","10/09/2025 18:17:01","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-neqw73/finding/9cd61ea93f4d5e37f7adc81c991beda0247a1c09","s3-bucket-public-write-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:01","10/09/2025 18:17:01","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-pbi5xq/finding/3668ab3e677307eed4d52836da7ae03f1a5e9817","s3-bucket-public-read-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:01","10/09/2025 18:17:01","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-z3qw3o/finding/a1f480f237038452acda5360b88764bcf490ee28","s3-bucket-server-side-encryption-enabled-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:01","10/09/2025 18:17:01","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-z8adnl/finding/b37fa87ccba37dc7adc2deddd4a7301af5422333","s3-bucket-level-public-access-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:02","10/09/2025 18:17:02","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-pbi5xq/finding/c7fac3d3fb629792199ce1ed16a734d7319da73f","s3-bucket-public-read-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:02","10/09/2025 18:17:02","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-neqw73/finding/c8521a17bcf3aab418e59dab1e33b8cb5eb2a244","s3-bucket-public-write-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:02","10/09/2025 18:17:02","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-z8adnl/finding/bdad7ab9e80466797d563c99ac917629b2444ce4","s3-bucket-level-public-access-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:03","10/09/2025 18:17:03","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-pbi5xq/finding/8b9fb946da0c3dfec3e093cb8b38be8691b202c9","s3-bucket-public-read-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:03","10/09/2025 18:17:03","0","0"
"arn:aws:config:eu-west-2:127486921697:config-rule/aws-service-rule/config-conforms.amazonaws.com/config-rule-neqw73/finding/f92a2c842517c9a804a87d97e5b28544f6ca7db0","s3-bucket-public-write-prohibited-conformance-pack-xzxc8av3e","MEDIUM","10/09/2025 18:17:03","10/09/2025 18:17:03","0","0"
